Eload,G,T,Vw
0.0,126.70543511669811,-1.7000000000000002,3.9
0.0,294.14114908412785,0.0,5.300000000000001
0.0,181.23987888723633,0.5,6.2
0.0,776.8730166938653,0.4,6.6000000000000005
0.0,654.5795844838162,-0.1,6.6000000000000005
0.0,455.6391160765937,-0.9,6.0
0.0,189.35989024650573,-2.0,5.4
0.0,0.0,-2.8000000000000003,5.2
0.0,0.0,-3.0,5.1000000000000005
0.0,0.0,-2.9000000000000004,5.4
0.0,0.0,-2.7,5.6000000000000005
0.0,0.0,-2.7,5.7
0.0,0.0,-2.9000000000000004,5.5
0.0,0.0,-3.2,5.1000000000000005
0.04,0.0,-3.5,4.7
0.04,0.0,-3.8,4.4
0.04,0.0,-3.9,4.3
0.04,0.0,-3.8,4.5
0.04,0.0,-3.7,4.5
0.04,0.0,-3.9,4.3
0.04,0.0,-4.2,4.0
0.04,0.0,-4.2,3.9
0.04,20.28101525894353,-3.3000000000000003,3.9
0.2,56.434129416190686,-1.8,4.0
0.36,218.76295722440636,-0.5,3.8
0.36,157.33654389437538,0.3,3.2
0.36,547.7717050159692,0.8,2.7
0.36,491.6532321948874,1.0,2.6
0.2,483.4538271964217,0.9,2.6
0.04,228.87822529565065,-0.1,2.3000000000000003
0.04,57.31803288323605,-1.8,2.0
0.04,0.0,-2.6,2.2
0.04,0.0,-2.6,2.3000000000000003
0.04,0.0,-1.9,2.6
0.04,0.0,-1.7000000000000002,2.9000000000000004
0.04,0.0,-1.8,3.2
0.04,0.0,-1.9,3.4000000000000004
0.04,0.0,-1.8,3.5
0.04,0.0,-1.5,3.6
0.04,0.0,-1.1,3.8
0.04,0.0,-0.8,3.9
0.04,0.0,-0.6000000000000001,4.1000000000000005
0.04,0.0,-0.3,4.3
0.04,0.0,0.1,4.6000000000000005
0.04,0.0,0.7000000000000001,5.2
0.04,0.0,1.0,5.800000000000001
0.04,14.035273877478845,1.3,6.4
0.2,384.8561285390248,1.8,6.7
0.36,608.4764642918886,2.2,7.2
0.36,744.9158176600358,2.6,7.9
0.36,797.9678813995279,2.8000000000000003,7.7
0.36,764.9127618521951,3.2,7.300000000000001
0.2,646.4416509682095,3.3000000000000003,7.6
0.04,452.45245040652594,3.2,8.4
0.04,196.26211203977354,2.7,9.2
0.04,0.0,2.1,9.1
0.04,0.0,1.7000000000000002,8.8
0.04,0.0,1.0,7.9
0.04,0.0,0.5,6.800000000000001
0.04,0.0,-0.4,5.1000000000000005
0.04,0.0,-1.6,3.5
0.04,0.0,-2.5,2.8000000000000003
0.04,0.0,-3.1,2.5
0.04,0.0,-3.6,2.3000000000000003
0.04,0.0,-3.9,2.5
0.04,0.0,-3.6,3.1
0.04,0.0,-3.1,3.4000000000000004
0.04,0.0,-3.0,3.1
0.04,0.0,-3.1,2.5
0.04,0.0,-3.0,1.9
0.04,67.80973256717148,-1.9,1.7000000000000002
0.2,215.11626207214601,-0.2,1.6
0.36,440.26450210889357,1.5,1.7000000000000002
0.36,764.7364111253801,2.2,2.1
0.36,519.6826485645846,2.4000000000000004,2.6
0.36,775.4223275009372,2.5,3.0
0.2,333.6470390432336,2.3000000000000003,3.1
0.04,288.76927232902443,1.1,2.5
0.04,62.2606529531297,-0.6000000000000001,2.2
0.04,0.0,-1.2000000000000002,3.0
0.04,0.0,-0.9,3.5
0.04,0.0,0.3,4.6000000000000005
0.04,0.0,0.6000000000000001,5.300000000000001
0.04,0.0,0.5,5.9
0.04,0.0,0.3,6.1000000000000005
0.04,0.0,0.5,6.2
0.04,0.0,1.0,6.2
0.04,0.0,1.3,6.300000000000001
