Eload,Eload_eh,Eload_hp,G,T,Vw,Cbuy,EV_P
0.909264452,0.909264452,0,125.03085984138947,15.2,2.2,0.35,0
0.896628989,0.896628989,0,176.56475038238855,15.0,1.9,0.35,0
0.951999724,0.951999724,0,47.58550719975415,14.2,1.7000000000000002,0.36,0
1.186636236,1.186636236,0,21.157327147105853,13.1,1.7000000000000002,0.38,0
1.636380201,1.636380201,0,0.0,12.6,1.8,0.38,1
1.898818251,1.898818251,0,0.0,12.5,2.0,0.38,1
1.848974169,1.848974169,0,0.0,12.3,2.1,0.38,1
1.722573077,1.722573077,0,0.0,12.1,2.1,0.38,1
1.583392206,1.583392206,0,0.0,11.9,2.1,0.36,1
1.304840818,1.304840818,0,0.0,11.7,2.3000000000000003,0.36,1
1.023957706,1.023957706,0,0.0,11.6,2.5,0.36,1
0.749781786,0.749781786,0,0.0,11.6,2.6,0.35,1
0.645944328,0.645944328,0,0.0,11.7,2.8000000000000003,0.35,1
0.607696924,0.607696924,0,0.0,11.9,2.9000000000000004,0.35,1
0.598814159,0.598814159,0,0.0,12.0,2.8000000000000003,0.35,1
0.602080664,0.602080664,0,0.0,12.1,2.7,0.35,1
0.655599995,0.655599995,0,0.0,12.3,2.8000000000000003,0.35,1
0.856932207,0.856932207,0,0.0,12.5,3.1,0.35,1
1.159014146,1.159014146,0,1.6925861717684683,12.9,3.4000000000000004,0.35,1
1.111149021,1.111149021,0,17.772154803568917,13.4,3.6,0.35,0
0.95170646,0.95170646,0,16.925861717684683,13.7,3.7,0.35,0
0.952788747,0.952788747,0,40.52930322254308,14.0,3.5,0.35,0
0.931633767,0.931633767,0,32.1591372636009,14.3,3.6,0.35,0
0.885270319,0.885270319,0,79.55372673668266,14.6,3.8,0.35,0
0.851188923,0.851188923,0,123.98394521168494,14.8,4.0,0.35,0
0.840611783,0.840611783,0,11.001810116495042,14.9,4.3,0.35,0
0.902208913,0.902208913,0,31.236678143148474,14.5,4.3,0.36,0
1.144464845,1.144464845,0,18.618447889453154,13.5,4.1000000000000005,0.38,0
1.587653237,1.587653237,0,0.0,12.8,3.9,0.38,1
1.858768711,1.858768711,0,0.0,12.7,4.0,0.38,1
1.815676063,1.815676063,0,0.0,12.9,4.5,0.38,1
1.692134002,1.692134002,0,0.0,13.2,5.2,0.38,1
1.55580128,1.55580128,0,0.0,13.4,6.1000000000000005,0.36,1
1.278062019,1.278062019,0,0.0,13.5,6.7,0.36,1
0.998625392,0.998625392,0,0.0,13.6,6.800000000000001,0.36,1
0.721654305,0.721654305,0,0.0,13.7,6.7,0.35,1
0.614644023,0.614644023,0,0.0,13.7,6.2,0.35,1
0.579669243,0.579669243,0,0.0,13.7,5.5,0.35,1
0.579800475,0.579800475,0,0.0,13.6,4.800000000000001,0.35,1
0.580984271,0.580984271,0,0.0,13.4,4.2,0.35,1
0.634543841,0.634543841,0,0.0,13.0,3.6,0.35,1
0.84422129,0.84422129,0,0.0,12.8,3.2,0.35,1
1.125002084,1.125002084,0,4.231465429421171,13.0,3.2,0.35,1
1.066474463,1.066474463,0,44.869684786510525,13.7,3.4000000000000004,0.35,0
0.904109101,0.904109101,0,122.85169878047792,14.1,3.4000000000000004,0.35,0
0.906338802,0.906338802,0,341.34284585579667,14.4,3.5,0.35,0
0.889240669,0.889240669,0,243.33517764531933,14.7,3.6,0.35,0
0.852692024,0.852692024,0,322.94867703599897,14.8,3.6,0.35,0
0.824604574,0.824604574,0,219.25686888557965,14.8,3.5,0.35,0
0.814902586,0.814902586,0,234.03893296989153,14.5,3.1,0.35,0
0.882894393,0.882894393,0,150.00590380513736,13.7,2.3000000000000003,0.36,0
1.124540475,1.124540475,0,32.10086743813853,12.3,1.7000000000000002,0.38,0
1.572498461,1.572498461,0,0.0,11.3,1.6,0.38,1
1.839750069,1.839750069,0,0.0,11.0,1.6,0.38,1
1.792857812,1.792857812,0,0.0,10.8,1.5,0.38,1
1.668370885,1.668370885,0,0.0,10.7,1.5,0.38,1
1.532298925,1.532298925,0,0.0,10.7,1.4,0.36,1
1.265487091,1.265487091,0,0.0,10.8,1.3,0.36,1
0.998996298,0.998996298,0,0.0,11.0,1.2000000000000002,0.36,1
0.735330271,0.735330271,0,0.0,11.0,1.1,0.35,1
0.633250546,0.633250546,0,0.0,10.8,1.1,0.35,1
0.597559432,0.597559432,0,0.0,10.7,1.2000000000000002,0.35,1
0.590804322,0.590804322,0,0.0,10.5,1.2000000000000002,0.35,1
0.591639452,0.591639452,0,0.0,10.3,1.3,0.35,1
0.643289877,0.643289877,0,0.0,9.9,1.5,0.35,1
0.855972725,0.855972725,0,0.0,9.5,1.8,0.35,1
1.133407799,1.133407799,0,3.3851723435369365,10.0,1.9,0.35,1
1.070635445,1.070635445,0,64.34663735573899,11.1,2.0,0.35,0
0.910248185,0.910248185,0,373.4942220719198,11.9,2.0,0.35,0
0.918114489,0.918114489,0,241.4810218286578,13.0,1.7000000000000002,0.35,0
0.900599274,0.900599274,0,315.2626125745015,14.2,1.6,0.35,0
0.863314711,0.863314711,0,430.3733087342051,15.0,1.6,0.35,0
0.830756947,0.830756947,0,507.2750606258521,15.3,1.5,0.35,0
0.819390825,0.819390825,0,610.8890362528113,15.1,1.2000000000000002,0.35,0
0.883457163,0.883457163,0,410.5636622761101,14.4,0.9,0.36,0
1.125655857,1.125655857,0,158.76683032931925,13.4,0.8,0.38,0
1.578759623,1.578759623,0,0.0,12.3,1.0,0.38,1
1.845143214,1.845143214,0,0.0,11.0,1.3,0.38,1
1.798813887,1.798813887,0,0.0,10.1,1.7000000000000002,0.38,1
1.675809664,1.675809664,0,0.0,9.6,2.1,0.38,1
1.540766306,1.540766306,0,0.0,9.4,2.4000000000000004,0.36,1
1.269676163,1.269676163,0,0.0,9.3,2.5,0.36,1
1.000730698,1.000730698,0,0.0,9.2,2.5,0.36,1
0.740261459,0.740261459,0,0.0,9.2,2.5,0.35,1
0.637970437,0.637970437,0,0.0,9.1,2.4000000000000004,0.35,1
0.602322061,0.602322061,0,0.0,9.1,2.5,0.35,1
0.599594252,0.599594252,0,0.0,9.1,2.8000000000000003,0.35,1
0.598965356,0.598965356,0,0.0,9.1,3.0,0.35,1
0.653760162,0.653760162,0,0.0,9.2,3.2,0.35,1
0.846038817,0.846038817,0,0.0,9.4,3.4000000000000004,0.35,1
1.138717338,1.138717338,0,3.3851723435369365,10.2,3.9,0.35,1
1.081422654,1.081422654,0,16.925861717684683,11.4,4.2,0.35,0
0.929940117,0.929940117,0,130.6023054737835,12.4,4.3,0.35,0
0.933265077,0.933265077,0,80.12271099508838,13.3,4.1000000000000005,0.35,0
