Ppv,Pdg,Pch,Pdch,Pdch_max,Pch_max,Eb,SOC,Pbuy,Psell,Eload,ENS,Edump,P_RE_served,Csell,Cbuy,Pserved,POA,Temperature,Wind Speed
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.214019106,0.0,1.214019106,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,16.7,2.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.954059489,0.0,0.954059489,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,16.5,2.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.697173035,0.0,0.697173035,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,16.400000000000002,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.597063624,0.0,0.597063624,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,16.3,1.9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.563958893,0.0,0.563958893,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,16.1,1.9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.561954233,0.0,0.561954233,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,16.0,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.564569048,0.0,0.564569048,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,15.8,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.611422238,0.0,0.611422238,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,15.6,2.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.803033477,0.0,0.803033477,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,16.0,2.1
0.44735107776240846,0.0,0.0,0.0,0.0,0.0,0.0,0,0.6435675713480878,0.0,1.073024606,0.0,0.0,0.44735107776240846,0.0638,0.404,0.4294570346519121,55.45312027035924,17.5,2.4000000000000004
1.2489054848313936,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.21045020143813786,0.988499064,0.0,-1.1542430957090466e-16,0.988499064,0.0638,0.404,0.988499064,156.84628085879194,19.5,2.8000000000000003
4.805024531100892,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.7822195678568558,0.830603982,0.0,1.1350833051789907e-16,0.830603982,0.0638,0.404,0.830603982,627.2120355755429,20.9,2.7
5.8772859921055565,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.822973302421334,0.81922125,3.3306690738754696e-16,-3.864388273237849e-16,0.81922125,0.0638,0.404,0.81922125,779.0640100837458,22.1,2.3000000000000003
6.342772939146291,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,5.259427683580439,0.829634338,2.220446049250313e-16,-2.2534056182430684e-16,0.829634338,0.0638,0.404,0.829634338,847.7078460643238,23.0,1.8
3.9215889969404776,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,2.9499370380628585,0.814788399,1.1102230246251565e-16,1.0936712879539536e-16,0.814788399,0.0638,0.404,0.814788399,511.63023999733315,23.5,1.4
5.609858820441137,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,4.593428572623491,0.792035895,0.0,7.244033348129215e-16,0.792035895,0.0638,0.404,0.792035895,745.5106792342123,23.700000000000003,1.3
4.464663311053055,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,3.493845531610933,0.792231247,2.220446049250313e-16,1.6112752692787584e-16,0.792231247,0.0638,0.404,0.792231247,584.7779994462319,23.0,1.1
2.794951194253468,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,1.8286670354833292,0.854486111,0.0,-2.8242339818030905e-17,0.854486111,0.0638,0.404,0.854486111,359.3170402788249,22.4,0.9
0.8435929680503598,0.0,0.0,0.0,0.0,0.0,0.0,0,0.27382590967165465,0.0,1.083675159,0.0,0.0,0.8435929680503598,0.0638,0.404,0.8098492493283453,105.52992799438636,19.4,0.9
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.50275718,0.0,1.50275718,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,18.2,1.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.777478196,0.0,1.777478196,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,17.400000000000002,1.2000000000000002
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.728572974,0.0,1.728572974,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,16.7,1.2000000000000002
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.600127698,0.0,1.600127698,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,16.1,1.3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.458960971,0.0,1.458960971,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,15.8,1.3
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1.197780545,0.0,1.197780545,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,15.5,1.2000000000000002
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.941079653,0.0,0.941079653,0.0,0.0,0.0,0.0638,0.404,0.0,0.0,15.4,1.1
